sp,algorithm,weighted,modularity,census,d_cutoff,seed,number_of_groups,group
acacme,louvain,TRUE,0.118597714,1,10,0,4,1
acacme,louvain,TRUE,0.118597714,1,10,0,4,1
acacme,louvain,TRUE,0.118597714,1,10,0,4,1
acacme,louvain,TRUE,0.118597714,1,10,0,4,1
acaldi,louvain,TRUE,0.118597714,1,10,0,4,1
acaldi,louvain,TRUE,0.118597714,1,10,0,4,1
acaldi,louvain,TRUE,0.118597714,1,10,0,4,1
acaldi,louvain,TRUE,0.118597714,1,10,0,4,1
acalma,louvain,TRUE,0.118597714,1,10,0,4,2
acalma,louvain,TRUE,0.118597714,1,10,0,4,2
acalma,louvain,TRUE,0.118597714,1,10,0,4,2
acalma,louvain,TRUE,0.118597714,1,10,0,4,2
ade1tr,louvain,TRUE,0.118597714,1,10,0,4,4
ade1tr,louvain,TRUE,0.118597714,1,10,0,4,4
ade1tr,louvain,TRUE,0.118597714,1,10,0,4,4
ade1tr,louvain,TRUE,0.118597714,1,10,0,4,4
aegipa,louvain,TRUE,0.118597714,1,10,0,4,3
aegipa,louvain,TRUE,0.118597714,1,10,0,4,3
aegipa,louvain,TRUE,0.118597714,1,10,0,4,3
aegipa,louvain,TRUE,0.118597714,1,10,0,4,3
alchco,louvain,TRUE,0.118597714,1,10,0,4,4
alchco,louvain,TRUE,0.118597714,1,10,0,4,4
alchco,louvain,TRUE,0.118597714,1,10,0,4,4
alchco,louvain,TRUE,0.118597714,1,10,0,4,4
alibed,louvain,TRUE,0.118597714,1,10,0,4,3
alibed,louvain,TRUE,0.118597714,1,10,0,4,3
alibed,louvain,TRUE,0.118597714,1,10,0,4,3
alibed,louvain,TRUE,0.118597714,1,10,0,4,3
allops,louvain,TRUE,0.118597714,1,10,0,4,4
allops,louvain,TRUE,0.118597714,1,10,0,4,4
allops,louvain,TRUE,0.118597714,1,10,0,4,4
allops,louvain,TRUE,0.118597714,1,10,0,4,4
alsebl,louvain,TRUE,0.118597714,1,10,0,4,4
alsebl,louvain,TRUE,0.118597714,1,10,0,4,4
alsebl,louvain,TRUE,0.118597714,1,10,0,4,4
alsebl,louvain,TRUE,0.118597714,1,10,0,4,4
amaico,louvain,TRUE,0.118597714,1,10,0,4,4
amaico,louvain,TRUE,0.118597714,1,10,0,4,4
amaico,louvain,TRUE,0.118597714,1,10,0,4,4
amaico,louvain,TRUE,0.118597714,1,10,0,4,4
anacex,louvain,TRUE,0.118597714,1,10,0,4,1
anacex,louvain,TRUE,0.118597714,1,10,0,4,1
anacex,louvain,TRUE,0.118597714,1,10,0,4,1
anacex,louvain,TRUE,0.118597714,1,10,0,4,1
anaxpa,louvain,TRUE,0.118597714,1,10,0,4,2
anaxpa,louvain,TRUE,0.118597714,1,10,0,4,2
anaxpa,louvain,TRUE,0.118597714,1,10,0,4,2
anaxpa,louvain,TRUE,0.118597714,1,10,0,4,2
andiin,louvain,TRUE,0.118597714,1,10,0,4,4
andiin,louvain,TRUE,0.118597714,1,10,0,4,4
andiin,louvain,TRUE,0.118597714,1,10,0,4,4
andiin,louvain,TRUE,0.118597714,1,10,0,4,4
annoac,louvain,TRUE,0.118597714,1,10,0,4,3
annoac,louvain,TRUE,0.118597714,1,10,0,4,3
annoac,louvain,TRUE,0.118597714,1,10,0,4,3
annoac,louvain,TRUE,0.118597714,1,10,0,4,3
annosp,louvain,TRUE,0.118597714,1,10,0,4,3
annosp,louvain,TRUE,0.118597714,1,10,0,4,3
annosp,louvain,TRUE,0.118597714,1,10,0,4,3
annosp,louvain,TRUE,0.118597714,1,10,0,4,3
apeime,louvain,TRUE,0.118597714,1,10,0,4,4
apeime,louvain,TRUE,0.118597714,1,10,0,4,4
apeime,louvain,TRUE,0.118597714,1,10,0,4,4
apeime,louvain,TRUE,0.118597714,1,10,0,4,4
apeiti,louvain,TRUE,0.118597714,1,10,0,4,3
apeiti,louvain,TRUE,0.118597714,1,10,0,4,3
apeiti,louvain,TRUE,0.118597714,1,10,0,4,3
apeiti,louvain,TRUE,0.118597714,1,10,0,4,3
ardife,louvain,TRUE,0.118597714,1,10,0,4,1
ardife,louvain,TRUE,0.118597714,1,10,0,4,1
ardife,louvain,TRUE,0.118597714,1,10,0,4,1
ardife,louvain,TRUE,0.118597714,1,10,0,4,1
ardigu,louvain,TRUE,0.118597714,1,10,0,4,3
ardigu,louvain,TRUE,0.118597714,1,10,0,4,3
ardigu,louvain,TRUE,0.118597714,1,10,0,4,3
ardigu,louvain,TRUE,0.118597714,1,10,0,4,3
aspicr,louvain,TRUE,0.118597714,1,10,0,4,4
aspicr,louvain,TRUE,0.118597714,1,10,0,4,4
aspicr,louvain,TRUE,0.118597714,1,10,0,4,4
aspicr,louvain,TRUE,0.118597714,1,10,0,4,4
ast1st,louvain,TRUE,0.118597714,1,10,0,4,3
ast1st,louvain,TRUE,0.118597714,1,10,0,4,3
ast1st,louvain,TRUE,0.118597714,1,10,0,4,3
ast1st,louvain,TRUE,0.118597714,1,10,0,4,3
ast2gr,louvain,TRUE,0.118597714,1,10,0,4,4
ast2gr,louvain,TRUE,0.118597714,1,10,0,4,4
ast2gr,louvain,TRUE,0.118597714,1,10,0,4,4
ast2gr,louvain,TRUE,0.118597714,1,10,0,4,4
bactba,louvain,TRUE,0.118597714,1,10,0,4,1
bactba,louvain,TRUE,0.118597714,1,10,0,4,1
