"","census","d_cutoff","x","y","soiltype"
"1",1,10,10,10,"1"
"2",1,10,30,10,"1"
"3",1,10,50,10,"1"
"4",1,10,70,10,"1"
"5",1,10,90,10,"1"
"6",1,10,110,10,"1"
"7",1,10,130,10,"1"
"8",1,10,150,10,"1"
"9",1,10,170,10,"1"
"10",1,10,190,10,"1"
"11",1,10,210,10,"1"
"12",1,10,230,10,"1"
"13",1,10,250,10,"1"
"14",1,10,270,10,"1"
"15",1,10,290,10,"1"
"16",1,10,310,10,"1"
"17",1,10,330,10,"3"
"18",1,10,350,10,"1"
"19",1,10,370,10,"1"
"20",1,10,390,10,"1"
"21",1,10,410,10,"1"
"22",1,10,430,10,"1"
"23",1,10,450,10,"1"
"24",1,10,470,10,"1"
"25",1,10,490,10,"1"
"26",1,10,510,10,"1"
"27",1,10,530,10,"1"
"28",1,10,550,10,"1"
"29",1,10,570,10,"1"
"30",1,10,590,10,"1"
"31",1,10,610,10,"1"
"32",1,10,630,10,"1"
"33",1,10,650,10,"1"
"34",1,10,670,10,"1"
"35",1,10,690,10,"1"
"36",1,10,710,10,"1"
"37",1,10,730,10,"1"
"38",1,10,750,10,"1"
"39",1,10,770,10,"1"
"40",1,10,790,10,"1"
"41",1,10,810,10,"3"
"42",1,10,830,10,"1"
"43",1,10,850,10,"1"
"44",1,10,870,10,"1"
"45",1,10,890,10,"1"
"46",1,10,910,10,"1"
"47",1,10,930,10,"1"
"48",1,10,950,10,"3"
"49",1,10,970,10,"3"
"50",1,10,990,10,"3"
"51",1,10,10,30,"3"
"52",1,10,30,30,"1"
"53",1,10,50,30,"1"
"54",1,10,70,30,"1"
"55",1,10,90,30,"2"
"56",1,10,110,30,"2"
"57",1,10,130,30,"2"
"58",1,10,150,30,"2"
"59",1,10,170,30,"2"
"60",1,10,190,30,"1"
"61",1,10,210,30,"1"
"62",1,10,230,30,"1"
"63",1,10,250,30,"1"
"64",1,10,270,30,"1"
"65",1,10,290,30,"1"
"66",1,10,310,30,"1"
"67",1,10,330,30,"3"
"68",1,10,350,30,"1"
"69",1,10,370,30,"1"
"70",1,10,390,30,"1"
"71",1,10,410,30,"1"
"72",1,10,430,30,"1"
"73",1,10,450,30,"1"
"74",1,10,470,30,"1"
"75",1,10,490,30,"1"
"76",1,10,510,30,"1"
"77",1,10,530,30,"1"
"78",1,10,550,30,"1"
"79",1,10,570,30,"1"
"80",1,10,590,30,"1"
"81",1,10,610,30,"1"
"82",1,10,630,30,"1"
"83",1,10,650,30,"1"
"84",1,10,670,30,"1"
"85",1,10,690,30,"1"
"86",1,10,710,30,"1"
"87",1,10,730,30,"1"
"88",1,10,750,30,"1"
"89",1,10,770,30,"1"
"90",1,10,790,30,"1"
"91",1,10,810,30,"1"
"92",1,10,830,30,"1"
"93",1,10,850,30,"1"
"94",1,10,870,30,"1"
"95",1,10,890,30,"1"
"96",1,10,910,30,"1"
"97",1,10,930,30,"4"
"98",1,10,950,30,"3"
"99",1,10,970,30,"1"
"100",1,10,990,30,"1"
"101",1,10,10,50,"3"
"102",1,10,30,50,"3"
"103",1,10,50,50,"1"
"104",1,10,70,50,"1"
"105",1,10,90,50,"2"
"106",1,10,110,50,"2"
"107",1,10,130,50,"2"
"108",1,10,150,50,"2"
"109",1,10,170,50,"2"
"110",1,10,190,50,"2"
"111",1,10,210,50,"4"
"112",1,10,230,50,"4"
"113",1,10,250,50,"4"
"114",1,10,270,50,"4"
"115",1,10,290,50,"1"
"116",1,10,310,50,"1"
"117",1,10,330,50,"3"
"118",1,10,350,50,"1"
"119",1,10,370,50,"1"
"120",1,10,390,50,"1"
"121",1,10,410,50,"1"
"122",1,10,430,50,"1"
"123",1,10,450,50,"1"
"124",1,10,470,50,"1"
"125",1,10,490,50,"1"
"126",1,10,510,50,"1"
"127",1,10,530,50,"1"
"128",1,10,550,50,"1"
"129",1,10,570,50,"1"
"130",1,10,590,50,"1"
"131",1,10,610,50,"1"
"132",1,10,630,50,"1"
"133",1,10,650,50,"1"
"134",1,10,670,50,"1"
"135",1,10,690,50,"1"
"136",1,10,710,50,"1"
"137",1,10,730,50,"1"
"138",1,10,750,50,"1"
"139",1,10,770,50,"1"
"140",1,10,790,50,"1"
"141",1,10,810,50,"1"
