"","sp","group","algorithm","weighted","modularity","number_of_groups","d_cutoff","seed"
"1","AEGINO","1","louvain",TRUE,0.072357017105009,4,10,0
"2","AIPHER","2","louvain",TRUE,0.072357017105009,4,10,0
"3","ALCH01","2","louvain",TRUE,0.072357017105009,4,10,0
"4","ALCHCO","3","louvain",TRUE,0.072357017105009,4,10,0
"5","ALCHTR","2","louvain",TRUE,0.072357017105009,4,10,0
"6","ALLOEX","4","louvain",TRUE,0.072357017105009,4,10,0
"7","ALLOSC","4","louvain",TRUE,0.072357017105009,4,10,0
"8","ALSOEN","3","louvain",TRUE,0.072357017105009,4,10,0
"9","ALSOER","4","louvain",TRUE,0.072357017105009,4,10,0
"10","ANIBME","2","louvain",TRUE,0.072357017105009,4,10,0
"11","ANIBPA","2","louvain",TRUE,0.072357017105009,4,10,0
"12","ANIBPU","2","louvain",TRUE,0.072357017105009,4,10,0
"13","BANAGU","1","louvain",TRUE,0.072357017105009,4,10,0
"14","BATHOB","2","louvain",TRUE,0.072357017105009,4,10,0
"15","BEILAL","2","louvain",TRUE,0.072357017105009,4,10,0
"16","BESLSO","2","louvain",TRUE,0.072357017105009,4,10,0
"17","BILLRO","2","louvain",TRUE,0.072357017105009,4,10,0
"18","BLAK01","1","louvain",TRUE,0.072357017105009,4,10,0
"19","BLAKER","2","louvain",TRUE,0.072357017105009,4,10,0
"20","BRUN01","3","louvain",TRUE,0.072357017105009,4,10,0
"21","BUNC01","3","louvain",TRUE,0.072357017105009,4,10,0
"22","CALACO","2","louvain",TRUE,0.072357017105009,4,10,0
"23","CARAGU","2","louvain",TRUE,0.072357017105009,4,10,0
"24","CARIMI","1","louvain",TRUE,0.072357017105009,4,10,0
"25","CASEZA","3","louvain",TRUE,0.072357017105009,4,10,0
"26","CECRAN","2","louvain",TRUE,0.072357017105009,4,10,0
"27","CECRBU","3","louvain",TRUE,0.072357017105009,4,10,0
"28","CECRMO","1","louvain",TRUE,0.072357017105009,4,10,0
"29","CEDR01","2","louvain",TRUE,0.072357017105009,4,10,0
"30","CEIBRH","1","louvain",TRUE,0.072357017105009,4,10,0
"31","CENTRU","3","louvain",TRUE,0.072357017105009,4,10,0
