"","census","d_cutoff","group","x","y","density","soiltype"
"1",1,10,"1",10,10,5.64056320649523e-06,"1"
"2",1,10,"1",30,10,6.92685565164701e-06,"1"
"3",1,10,"1",50,10,9.84709912985048e-06,"1"
"4",1,10,"1",70,10,1.15645558276659e-05,"1"
"5",1,10,"1",90,10,9.46098539006915e-06,"1"
"6",1,10,"1",110,10,6.52064290878714e-06,"1"
"7",1,10,"1",130,10,5.15982804263754e-06,"1"
"8",1,10,"1",150,10,4.67899316629126e-06,"1"
"9",1,10,"1",170,10,3.92921218281113e-06,"2"
"10",1,10,"1",190,10,3.19847196888447e-06,"2"
"11",1,10,"1",210,10,2.96848170402423e-06,"2"
"12",1,10,"1",230,10,2.9146178931902e-06,"2"
"13",1,10,"1",250,10,3.75971569235935e-06,"2"
"14",1,10,"1",270,10,5.53138509869237e-06,"1"
"15",1,10,"1",290,10,5.73748059466626e-06,"1"
"16",1,10,"1",310,10,4.07050989511425e-06,"2"
"17",1,10,"1",330,10,3.1021398552553e-06,"2"
"18",1,10,"1",350,10,2.76745210843177e-06,"2"
"19",1,10,"1",370,10,2.81123343412387e-06,"2"
"20",1,10,"1",390,10,3.75068663508032e-06,"2"
"21",1,10,"1",410,10,5.1409199689158e-06,"1"
"22",1,10,"1",430,10,4.49657756759457e-06,"4"
"23",1,10,"1",450,10,2.76430141331122e-06,"2"
"24",1,10,"1",470,10,2.20152506124934e-06,"2"
"25",1,10,"1",490,10,2.47565013819595e-06,"2"
"26",1,10,"1",10,30,6.05952932882343e-06,"1"
"27",1,10,"1",30,30,6.84885587369388e-06,"1"
"28",1,10,"1",50,30,8.26662959829841e-06,"1"
"29",1,10,"1",70,30,8.8670746342589e-06,"1"
"30",1,10,"1",90,30,7.64120264078542e-06,"1"
"31",1,10,"1",110,30,5.71397091135505e-06,"1"
"32",1,10,"1",130,30,4.75210629892265e-06,"1"
"33",1,10,"1",150,30,4.78779846437022e-06,"1"
"34",1,10,"1",170,30,4.41405857443603e-06,"2"
"35",1,10,"1",190,30,3.48808134625517e-06,"2"
"36",1,10,"1",210,30,3.06162723519185e-06,"2"
"37",1,10,"1",230,30,3.10130645101807e-06,"2"
"38",1,10,"1",250,30,3.76651326803382e-06,"2"
"39",1,10,"1",270,30,4.81916498867308e-06,"2"
"40",1,10,"1",290,30,4.70014729852155e-06,"2"
"41",1,10,"1",310,30,3.434035621656e-06,"2"
"42",1,10,"1",330,30,2.86854445855845e-06,"2"
"43",1,10,"1",350,30,2.86132099390205e-06,"2"
"44",1,10,"1",370,30,2.92331166539121e-06,"2"
"45",1,10,"1",390,30,3.16639283339954e-06,"2"
"46",1,10,"1",410,30,3.79010989729743e-06,"4"
"47",1,10,"1",430,30,3.59201935898149e-06,"4"
"48",1,10,"1",450,30,2.69588661364799e-06,"2"
"49",1,10,"1",470,30,2.45233829586497e-06,"2"
"50",1,10,"1",490,30,2.87536611204827e-06,"2"
